"Trait" "Outcome" "Moderator" "Covariate"
"A" "dementia" "none" "shared"
"C" "dementia" "none" "shared"
"E" "dementia" "none" "shared"
"N" "dementia" "none" "shared"
"NA" "dementia" "none" "shared"
"O" "dementia" "none" "shared"
"PA" "dementia" "none" "shared"
"SWL" "dementia" "none" "shared"
"A" "dementia" "age" "shared"
"C" "dementia" "age" "shared"
"E" "dementia" "age" "shared"
"N" "dementia" "age" "shared"
"NA" "dementia" "age" "shared"
"O" "dementia" "age" "shared"
"PA" "dementia" "age" "shared"
"SWL" "dementia" "age" "shared"
"A" "dementia" "gender" "shared"
"C" "dementia" "gender" "shared"
"E" "dementia" "gender" "shared"
"N" "dementia" "gender" "shared"
"NA" "dementia" "gender" "shared"
"O" "dementia" "gender" "shared"
"PA" "dementia" "gender" "shared"
"SWL" "dementia" "gender" "shared"
"A" "dementia" "education" "shared"
"C" "dementia" "education" "shared"
"E" "dementia" "education" "shared"
"N" "dementia" "education" "shared"
"NA" "dementia" "education" "shared"
"O" "dementia" "education" "shared"
"PA" "dementia" "education" "shared"
"SWL" "dementia" "education" "shared"
"A" "dementia" "cognition" "shared"
"C" "dementia" "cognition" "shared"
"E" "dementia" "cognition" "shared"
"N" "dementia" "cognition" "shared"
"NA" "dementia" "cognition" "shared"
"O" "dementia" "cognition" "shared"
"PA" "dementia" "cognition" "shared"
"SWL" "dementia" "cognition" "shared"
"A" "dementia" "none" "butOne"
"C" "dementia" "none" "butOne"
"E" "dementia" "none" "butOne"
"N" "dementia" "none" "butOne"
"NA" "dementia" "none" "butOne"
"O" "dementia" "none" "butOne"
"PA" "dementia" "none" "butOne"
"SWL" "dementia" "none" "butOne"
"A" "dementia" "age" "butOne"
"C" "dementia" "age" "butOne"
"E" "dementia" "age" "butOne"
"N" "dementia" "age" "butOne"
"NA" "dementia" "age" "butOne"
"O" "dementia" "age" "butOne"
"PA" "dementia" "age" "butOne"
"SWL" "dementia" "age" "butOne"
"A" "dementia" "gender" "butOne"
"C" "dementia" "gender" "butOne"
"E" "dementia" "gender" "butOne"
"N" "dementia" "gender" "butOne"
"NA" "dementia" "gender" "butOne"
"O" "dementia" "gender" "butOne"
"PA" "dementia" "gender" "butOne"
"SWL" "dementia" "gender" "butOne"
"A" "dementia" "education" "butOne"
"C" "dementia" "education" "butOne"
"E" "dementia" "education" "butOne"
"N" "dementia" "education" "butOne"
"NA" "dementia" "education" "butOne"
"O" "dementia" "education" "butOne"
"PA" "dementia" "education" "butOne"
"SWL" "dementia" "education" "butOne"
"A" "dementia" "cognition" "butOne"
"C" "dementia" "cognition" "butOne"
"E" "dementia" "cognition" "butOne"
"N" "dementia" "cognition" "butOne"
"NA" "dementia" "cognition" "butOne"
"O" "dementia" "cognition" "butOne"
"PA" "dementia" "cognition" "butOne"
"SWL" "dementia" "cognition" "butOne"
"A" "dementia" "none" "standard"
"C" "dementia" "none" "standard"
"E" "dementia" "none" "standard"
"N" "dementia" "none" "standard"
"NA" "dementia" "none" "standard"
"O" "dementia" "none" "standard"
"PA" "dementia" "none" "standard"
"SWL" "dementia" "none" "standard"
"A" "dementia" "age" "standard"
"C" "dementia" "age" "standard"
"E" "dementia" "age" "standard"
"N" "dementia" "age" "standard"
"NA" "dementia" "age" "standard"
